Class,GO_Name,GO_ID,GO_Level,P_value,EnrichmentScore,HitsGenesCountsInSelectedSet,HitsGenesCountsInBackground,AllGenesCountsInSelectedSet,AllGenesCountsInBackground,GenesOfSelectedSetInGOterm,corrected p-value(BH method)
Molecular function,oxidoreductase activity,GO:0016491,3,0,2.103523382,128,2.23E+03,6.72E+02,24627,"Medtr0554s0020,Medtr3g464530,Medtr4g011690,Medtr1g070135,Medtr3g088565,Medtr4g106870,Medtr7g078010,Medtr6g018860,Medtr6g034940,Medtr5g070030,Medtr1g104590,Medtr8g089190,Medtr5g006730,Medtr3g089035,Medtr3g109610,Medtr8g080520,Medtr5g006740,Medtr7g086090,Medtr3g089005,Medtr6g008530,Medtr6g462640,Medtr3g009880,Medtr8g033380,Medtr6g021910,Medtr6g021915,Medtr4g121880,Medtr3g093530,Medtr8g091690,Medtr2g070420,Medtr3g058390,Medtr4g074130,Medtr8g035810,Medtr7g090520,Medtr4g072350,Medtr8g035820,Medtr5g095230,Medtr5g095220,Medtr2g031420,Medtr4g072360,Medtr0021s0370,Medtr8g072640,Medtr8g031850,Medtr3g020780,Medtr1g081290,Medtr7g105460,Medtr8g046240,Medtr2g065360,Medtr5g045710,Medtr7g062600,Medtr2g086700,Medtr8g024310,Medtr5g070685,Medtr4g094515,Medtr0147s0030,Medtr7g086160,Medtr0045s0070,Medtr6g011640,Medtr7g076665,Medtr6g043460,Medtr3g104510,Medtr0451s0010,Medtr7g053290,Medtr7g086140,Medtr4g096840,Medtr3g057910,Medtr8g031900,Medtr8g035880,Medtr7g086820,Medtr7g086100,Medtr6g008430,Medtr2g068950,Medtr3g098320,Medtr2g068960,Medtr3g057980,Medtr2g072190,Medtr7g063320,Medtr5g094840,Medtr2g437380,Medtr7g045370,Medtr1g035190,Medtr4g029500,Medtr7g086190,Medtr3g079240,Medtr4g102280,Medtr0011s0280,Medtr7g079440,Medtr5g005570,Medtr1g105130,Medtr3g058240,Medtr3g073150,Medtr3g058250,Medtr3g099980,Medtr7g103610,Medtr1g088925,Medtr2g019370,Medtr5g025610,Medtr7g103450,Medtr1g105120,Medtr3g467130,Medtr5g092150,Medtr7g016090,Medtr4g126160,Medtr3g467140,Medtr7g105570,Medtr7g055743,Medtr3g085740,Medtr1g090707,Medtr7g092620,Medtr8g028780,Medtr7g062580,Medtr1g076830,Medtr3g058060,Medtr2g098490,Medtr5g037950,Medtr7g092600,Medtr2g105360,Medtr4g087140,Medtr2g010530,Medtr3g058000,Medtr8g041620,Medtr7g086230,Medtr6g015950,Medtr8g076940,Medtr3g058400,Medtr8g041600,Medtr1g102070,Medtr7g086220,Medtr3g104560,",0
Molecular function,transporter activity,GO:0005215,2,0,2.646926053,84,1.16E+03,6.72E+02,24627,"Medtr8g103233,Medtr1g021740,Medtr6g009110,Medtr3g082050,Medtr3g058630,Medtr5g063930,Medtr3g081690,Medtr8g022270,Medtr8g089340,Medtr8g089342,Medtr4g065007,Medtr4g049340,Medtr8g095040,Medtr3g108190,Medtr4g083570,Medtr7g100160,Medtr3g110660,Medtr3g100570,Medtr8g006790,Medtr5g014150,Medtr7g098090,Medtr1g036410,Medtr3g088460,Medtr7g098040,Medtr5g045520,Medtr7g113960,Medtr2g009980,Medtr4g077930,Medtr0027s0220,Medtr7g082810,Medtr5g012810,Medtr7g082800,Medtr3g029510,Medtr2g011580,Medtr5g068140,Medtr4g084620,Medtr8g096050,Medtr8g107510,Medtr1g030660,Medtr7g098230,Medtr3g096380,Medtr8g074750,Medtr4g123583,Medtr4g124050,Medtr7g098200,Medtr0018s0230,Medtr5g044220,Medtr4g075570,Medtr6g008820,Medtr2g026160,Medtr5g033080,Medtr6g092840,Medtr3g087740,Medtr4g065660,Medtr4g058730,Medtr7g066070,Medtr7g087400,Medtr2g008470,Medtr8g085630,Medtr3g107800,Medtr7g115050,Medtr5g012270,Medtr2g094270,Medtr1g109390,Medtr4g081190,Medtr1g015000,Medtr3g086430,Medtr8g077890,Medtr7g098160,Medtr4g123537,Medtr2g017750,Medtr6g477760,Medtr8g087780,Medtr2g036650,Medtr1g010210,Medtr3g108320,Medtr1g010270,Medtr6g007687,Medtr1g028600,Medtr5g026640,Medtr8g089320,Medtr8g087710,Medtr7g010650,Medtr8g087720,",0
Molecular function,iron ion binding,GO:0005506,7,8.06E-14,3.263117661,52,5.84E+02,6.72E+02,24627,"Medtr0554s0020,Medtr3g464530,Medtr6g018860,Medtr6g034940,Medtr8g089190,Medtr8g080520,Medtr6g008530,Medtr6g462640,Medtr8g033380,Medtr3g093530,Medtr8g091690,Medtr3g058390,Medtr8g035810,Medtr8g035820,Medtr5g095230,Medtr5g095220,Medtr3g020780,Medtr8g046240,Medtr2g065360,Medtr5g070685,Medtr0147s0030,Medtr0045s0070,Medtr0451s0010,Medtr4g096840,Medtr3g057910,Medtr6g008430,Medtr3g057980,Medtr5g094840,Medtr1g035190,Medtr3g079240,Medtr4g102280,Medtr7g079440,Medtr3g058240,Medtr3g058250,Medtr2g019370,Medtr5g025610,Medtr7g103450,Medtr3g467130,Medtr5g092150,Medtr3g467140,Medtr7g092620,Medtr7g062580,Medtr3g058060,Medtr7g092600,Medtr2g105360,Medtr4g087140,Medtr2g010530,Medtr3g058000,Medtr8g076940,Medtr3g058400,Medtr1g102070,Medtr3g104560,",1.25E-11
Molecular function,transmembrane transporter activity,GO:0022857,3,3.87E-13,2.678541766,66,9.03E+02,6.72E+02,24627,"Medtr1g021740,Medtr6g009110,Medtr3g082050,Medtr3g058630,Medtr3g081690,Medtr8g022270,Medtr8g089340,Medtr8g089342,Medtr4g065007,Medtr8g095040,Medtr3g108190,Medtr4g083570,Medtr7g100160,Medtr3g110660,Medtr3g100570,Medtr8g006790,Medtr5g014150,Medtr1g036410,Medtr5g045520,Medtr7g113960,Medtr2g009980,Medtr4g077930,Medtr0027s0220,Medtr7g082810,Medtr5g012810,Medtr7g082800,Medtr3g029510,Medtr2g011580,Medtr5g068140,Medtr4g084620,Medtr8g096050,Medtr8g107510,Medtr1g030660,Medtr3g096380,Medtr8g074750,Medtr4g123583,Medtr4g124050,Medtr0018s0230,Medtr6g008820,Medtr2g026160,Medtr5g033080,Medtr6g092840,Medtr3g087740,Medtr4g065660,Medtr4g058730,Medtr7g066070,Medtr7g087400,Medtr2g008470,Medtr8g085630,Medtr3g107800,Medtr7g115050,Medtr1g109390,Medtr4g081190,Medtr1g015000,Medtr3g086430,Medtr8g077890,Medtr6g477760,Medtr2g036650,Medtr1g010210,Medtr3g108320,Medtr1g010270,Medtr6g007687,Medtr1g028600,Medtr5g026640,Medtr8g089320,Medtr8g087720,",4.51E-11
Molecular function,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen",GO:0016705,4,9.46E-13,3.195229093,49,5.62E+02,6.72E+02,24627,"Medtr0554s0020,Medtr6g034940,Medtr8g089190,Medtr8g080520,Medtr6g008530,Medtr6g462640,Medtr3g093530,Medtr8g091690,Medtr3g058390,Medtr8g035810,Medtr8g035820,Medtr5g095230,Medtr5g095220,Medtr3g020780,Medtr1g081290,Medtr8g046240,Medtr2g065360,Medtr2g086700,Medtr5g070685,Medtr0147s0030,Medtr0045s0070,Medtr0451s0010,Medtr3g057910,Medtr6g008430,Medtr3g057980,Medtr5g094840,Medtr1g035190,Medtr3g079240,Medtr4g102280,Medtr7g079440,Medtr5g005570,Medtr3g058240,Medtr3g058250,Medtr2g019370,Medtr5g025610,Medtr7g103450,Medtr3g467130,Medtr5g092150,Medtr3g467140,Medtr7g092620,Medtr3g058060,Medtr7g092600,Medtr2g105360,Medtr2g010530,Medtr3g058000,Medtr8g076940,Medtr3g058400,Medtr1g102070,Medtr3g104560,",8.84E-11
Molecular function,monooxygenase activity,GO:0004497,4,3.79E-12,3.443372483,42,4.47E+02,6.72E+02,24627,"Medtr0554s0020,Medtr6g034940,Medtr8g089190,Medtr8g080520,Medtr6g008530,Medtr6g462640,Medtr3g093530,Medtr8g091690,Medtr3g058390,Medtr8g035810,Medtr8g035820,Medtr5g095230,Medtr5g095220,Medtr3g020780,Medtr8g046240,Medtr2g065360,Medtr0147s0030,Medtr0045s0070,Medtr0451s0010,Medtr3g057910,Medtr6g008430,Medtr3g057980,Medtr5g094840,Medtr1g035190,Medtr4g102280,Medtr7g079440,Medtr3g058240,Medtr3g058250,Medtr5g025610,Medtr7g103450,Medtr3g467130,Medtr5g092150,Medtr3g467140,Medtr7g092620,Medtr3g058060,Medtr7g092600,Medtr2g105360,Medtr2g010530,Medtr3g058000,Medtr8g076940,Medtr3g058400,Medtr3g104560,",2.95E-10
Molecular function,ion transmembrane transporter activity,GO:0015075,4,6.02E-12,3.174720877,46,5.31E+02,6.72E+02,24627,"Medtr3g082050,Medtr3g058630,Medtr3g081690,Medtr8g089340,Medtr8g089342,Medtr4g065007,Medtr8g095040,Medtr3g108190,Medtr4g083570,Medtr7g100160,Medtr3g110660,Medtr3g100570,Medtr8g006790,Medtr5g014150,Medtr1g036410,Medtr5g045520,Medtr0027s0220,Medtr5g012810,Medtr3g029510,Medtr4g084620,Medtr8g096050,Medtr8g107510,Medtr1g030660,Medtr3g096380,Medtr8g074750,Medtr4g123583,Medtr0018s0230,Medtr2g026160,Medtr6g092840,Medtr3g087740,Medtr4g065660,Medtr4g058730,Medtr7g066070,Medtr2g008470,Medtr8g085630,Medtr7g115050,Medtr1g109390,Medtr1g015000,Medtr6g477760,Medtr2g036650,Medtr1g010210,Medtr3g108320,Medtr1g010270,Medtr6g007687,Medtr8g089320,Medtr8g087720,",4.02E-10
Molecular function,inorganic molecular entity transmembrane transporter activity,GO:0015318,4,5.21E-10,2.993107925,41,5.02E+02,6.72E+02,24627,"Medtr3g082050,Medtr3g058630,Medtr3g081690,Medtr8g089340,Medtr8g089342,Medtr4g065007,Medtr3g108190,Medtr4g083570,Medtr3g110660,Medtr3g100570,Medtr8g006790,Medtr5g014150,Medtr5g045520,Medtr0027s0220,Medtr3g029510,Medtr4g084620,Medtr8g096050,Medtr8g107510,Medtr1g030660,Medtr3g096380,Medtr4g123583,Medtr0018s0230,Medtr2g026160,Medtr6g092840,Medtr3g087740,Medtr4g065660,Medtr4g058730,Medtr7g066070,Medtr2g008470,Medtr8g085630,Medtr1g109390,Medtr1g015000,Medtr6g477760,Medtr2g036650,Medtr1g010210,Medtr3g108320,Medtr1g010270,Medtr6g007687,Medtr1g028600,Medtr8g089320,Medtr8g087720,",3.04E-08
Molecular function,catalytic activity,GO:0003824,2,5.88E-10,1.22593497,422,1.26E+04,6.72E+02,24627,"Medtr8g068050,Medtr8g107250,Medtr3g011630,Medtr5g016890,Medtr8g061950,Medtr2g045490,Medtr8g008990,Medtr3g096910,Medtr8g103227,Medtr0554s0020,Medtr3g464530,Medtr1g050525,Medtr8g092290,Medtr7g067330,Medtr1g027160,Medtr4g108170,Medtr4g093040,Medtr5g011340,Medtr3g064110,Medtr2g435550,Medtr4g011690,Medtr6g009110,Medtr8g068265,Medtr1g070135,Medtr3g065250,Medtr2g070120,Medtr1g101370,Medtr7g112720,Medtr5g030910,Medtr2g023890,Medtr7g105400,Medtr3g088565,Medtr3g076630,Medtr4g106870,Medtr3g031380,Medtr1g075730,Medtr4g073920,Medtr7g078010,Medtr5g069360,Medtr6g018860,Medtr7g009060,Medtr1g052525,Medtr6g034940,Medtr5g070040,Medtr4g100480,Medtr1g076810,Medtr5g083030,Medtr7g013100,Medtr5g070030,Medtr1g104590,Medtr8g089190,Medtr5g033580,Medtr5g006730,Medtr3g089035,Medtr3g109610,Medtr4g080700,Medtr3g079620,Medtr8g080520,Medtr2g010815,Medtr6g013440,Medtr3g079630,Medtr5g006740,Medtr8g055940,Medtr7g086090,Medtr2g062560,Medtr3g089005,Medtr8g104580,Medtr3g028650,Medtr8g022270,Medtr3g098650,Medtr5g030920,Medtr3g079600,Medtr2g461970,Medtr7g079320,Medtr6g008530,Medtr8g074560,Medtr7g033325,Medtr8g074170,Medtr6g015020,Medtr6g462640,Medtr8g074570,Medtr1g099050,Medtr3g009880,Medtr1g115195,Medtr8g033380,Medtr4g103670,Medtr2g010800,Medtr5g033510,Medtr3g008010,Medtr8g074580,Medtr4g037670,Medtr6g021910,Medtr6g021915,Medtr8g061960,Medtr2g044100,Medtr1g040875,Medtr3g079590,Medtr1g027570,Medtr4g036090,Medtr6g043700,Medtr5g086080,Medtr8g059425,Medtr6g086575,Medtr4g121880,Medtr0188s0020,Medtr8g102380,Medtr1g096240,Medtr3g079570,Medtr5g022560,Medtr1g102160,Medtr3g093530,Medtr1g103020,Medtr8g067930,Medtr1g062970,Medtr3g079560,Medtr4g105250,Medtr3g072390,Medtr4g117950,Medtr8g006790,Medtr5g093570,Medtr2g029300,Medtr1g105900,Medtr6g027310,Medtr3g083630,Medtr3g021440,Medtr4g021800,Medtr1g484920,Medtr4g076490,Medtr1g024980,Medtr2g075830,Medtr4g057600,Medtr8g091690,Medtr8g087420,Medtr3g040370,Medtr2g070420,Medtr2g014920,Medtr7g112420,Medtr3g058390,Medtr4g077930,Medtr7g104360,Medtr7g080180,Medtr8g089665,Medtr7g070940,Medtr3g088420,Medtr1g026860,Medtr4g074130,Medtr3g115540,Medtr5g094380,Medtr8g035810,Medtr1g079120,Medtr3g064090,Medtr7g090520,Medtr3g114900,Medtr4g072350,Medtr2g017805,Medtr3g032530,Medtr6g069600,Medtr8g035820,Medtr5g095230,Medtr8g067720,Medtr5g095220,Medtr6g069030,Medtr2g031420,Medtr4g072360,Medtr7g088350,Medtr3g114910,Medtr0021s0370,Medtr8g072640,Medtr8g031850,Medtr2g036500,Medtr3g020780,Medtr1g081290,Medtr7g105460,Medtr4g007220,Medtr1g016780,Medtr3g082200,Medtr8g046240,Medtr2g065360,Medtr7g062150,Medtr1g098300,Medtr5g045710,Medtr4g075150,Medtr2g038675,Medtr6g015850,Medtr4g094858,Medtr7g062600,Medtr2g086700,Medtr3g033810,Medtr8g024310,Medtr6g079630,Medtr7g085200,Medtr5g011320,Medtr8g101330,Medtr7g061780,Medtr4g009690,Medtr0147s0050,Medtr5g011310,Medtr5g070685,Medtr6g034195,Medtr4g094515,Medtr3g104420,Medtr5g026760,Medtr0147s0030,Medtr7g086160,Medtr8g075990,Medtr0045s0070,Medtr1g021635,Medtr3g104900,Medtr6g011640,Medtr5g011260,Medtr4g050140,Medtr7g076665,Medtr7g117280,Medtr6g043460,Medtr3g104510,Medtr1g471050,Medtr0451s0010,Medtr0475s0020,Medtr3g031480,Medtr7g053290,Medtr7g005940,Medtr5g011270,Medtr7g086140,Medtr8g062440,Medtr8g043970,Medtr1g016620,Medtr7g072420,Medtr6g009260,Medtr7g106880,Medtr4g096840,Medtr3g057910,Medtr8g031900,Medtr4g095700,Medtr6g022710,Medtr1g059960,Medtr4g079770,Medtr6g078450,Medtr4g033455,Medtr8g035880,Medtr3g107630,Medtr8g068540,Medtr3g031450,Medtr4g047610,Medtr7g086820,Medtr1g040500,Medtr4g124050,Medtr3g026280,Medtr2g040010,Medtr7g086100,Medtr7g102460,Medtr1g048360,Medtr6g009540,Medtr7g081050,Medtr5g043550,Medtr8g075330,Medtr7g116650,Medtr6g092660,Medtr8g068530,Medtr1g027200,Medtr6g008430,Medtr2g437730,Medtr2g068950,Medtr8g074270,Medtr3g098320,Medtr3g087980,Medtr8g090330,Medtr6g008820,Medtr2g068960,Medtr5g026010,Medtr3g057980,Medtr4g094265,Medtr8g467650,Medtr4g058570,Medtr3g049150,Medtr6g006990,Medtr7g116130,Medtr2g090190,Medtr2g072190,Medtr5g033080,Medtr1g009240,Medtr5g033490,Medtr0288s0020,Medtr1g055255,Medtr4g104030,Medtr7g063320,Medtr7g115740,Medtr0205s0040,Medtr5g094840,Medtr1g009270,Medtr2g437380,Medtr2g023150,Medtr7g045370,Medtr1g035190,Medtr4g029500,Medtr1g081625,Medtr2g022140,Medtr1g027250,Medtr7g086190,Medtr0027s0260,Medtr4g094220,Medtr3g079240,Medtr4g102280,Medtr1g027260,Medtr8g097190,Medtr0011s0280,Medtr7g079440,Medtr4g093845,Medtr8g092300,Medtr1g105965,Medtr5g005570,Medtr6g081060,Medtr1g105130,Medtr8g089740,Medtr3g058240,Medtr3g073150,Medtr2g028940,Medtr4g022760,Medtr3g019530,Medtr3g107800,Medtr8g014730,Medtr5g009670,Medtr3g058250,Medtr8g077590,Medtr8g014740,Medtr3g099980,Medtr1g110290,Medtr7g103610,Medtr2g019345,Medtr4g083620,Medtr0015s0030,Medtr6g093100,Medtr5g019460,Medtr3g438050,Medtr8g083170,Medtr7g080950,Medtr7g102870,Medtr3g112060,Medtr7g070870,Medtr5g044000,Medtr2g017795,Medtr5g025010,Medtr1g088925,Medtr4g114000,Medtr2g019370,Medtr5g025610,Medtr7g103450,Medtr4g081190,Medtr3g086430,Medtr2g017785,Medtr1g090737,Medtr1g109110,Medtr0536s0010,Medtr0536s0020,Medtr1g105120,Medtr4g080730,Medtr1g062860,Medtr3g467130,Medtr5g092150,Medtr7g102840,Medtr7g016090,Medtr4g126160,Medtr3g467140,Medtr7g105570,Medtr7g055743,Medtr4g126930,Medtr5g058320,Medtr4g129010,Medtr3g085740,Medtr1g090707,Medtr7g092620,Medtr5g092815,Medtr3g007770,Medtr5g076900,Medtr8g028780,Medtr7g062580,Medtr2g018590,Medtr8g041650,Medtr1g063110,Medtr1g076830,Medtr2g036650,Medtr3g058060,Medtr2g098490,Medtr7g062020,Medtr5g037950,Medtr4g057585,Medtr7g092600,Medtr1g063120,Medtr8g009055,Medtr7g112130,Medtr2g105360,Medtr4g107930,Medtr4g087140,Medtr6g007690,Medtr2g010530,Medtr6g056070,Medtr3g058000,Medtr8g041620,Medtr1g077930,Medtr7g086230,Medtr2g078730,Medtr6g015950,Medtr2g055690,Medtr8g076940,Medtr3g058400,Medtr2g105100,Medtr5g084950,Medtr4g057595,Medtr4g079800,Medtr7g070810,Medtr1g103110,Medtr2g008240,Medtr4g118000,Medtr8g041600,Medtr8g067630,Medtr4g096690,Medtr3g434790,Medtr1g049240,Medtr8g107450,Medtr1g102070,Medtr4g102400,Medtr7g086220,Medtr3g104560,",3.05E-08
Molecular function,heme binding,GO:0020037,5,9.49E-10,2.657207596,48,6.62E+02,6.72E+02,24627,"Medtr0554s0020,Medtr6g034940,Medtr8g089190,Medtr8g080520,Medtr6g008530,Medtr6g462640,Medtr3g093530,Medtr8g091690,Medtr3g058390,Medtr8g035810,Medtr8g035820,Medtr5g095230,Medtr5g095220,Medtr3g020780,Medtr8g046240,Medtr2g065360,Medtr5g070685,Medtr0147s0030,Medtr0045s0070,Medtr6g043460,Medtr0451s0010,Medtr3g057910,Medtr7g086820,Medtr6g008430,Medtr3g057980,Medtr5g094840,Medtr1g035190,Medtr3g079240,Medtr4g102280,Medtr7g079440,Medtr3g058240,Medtr3g073150,Medtr3g058250,Medtr5g025610,Medtr7g103450,Medtr3g467130,Medtr5g092150,Medtr3g467140,Medtr7g092620,Medtr3g058060,Medtr2g098490,Medtr7g092600,Medtr2g105360,Medtr2g010530,Medtr3g058000,Medtr8g076940,Medtr3g058400,Medtr3g104560,",4.43E-08
