Class,GO_Name,GO_ID,GO_Level,P_value,EnrichmentScore,HitsGenesCountsInSelectedSet,HitsGenesCountsInBackground,AllGenesCountsInSelectedSet,AllGenesCountsInBackground,GenesOfSelectedSetInGOterm,corrected p-value(BH method)
Molecular function,oxidoreductase activity,GO:0016491,3,5.28E-14,2.53008927,74,2.23E+03,3.23E+02,24627,"Medtr3g058610,Medtr8g035780,Medtr4g046713,Medtr1g033810,Medtr7g026990,Medtr5g094560,Medtr3g105790,Medtr5g094570,Medtr1g070120,Medtr5g017860,Medtr1g025980,Medtr5g010750,Medtr4g132320,Medtr5g024020,Medtr8g479380,Medtr5g025230,Medtr3g070860,Medtr4g066130,Medtr5g470730,Medtr1g034330,Medtr2g088990,Medtr5g025250,Medtr6g066230,Medtr4g029200,Medtr2g437770,Medtr0059s0170,Medtr1g009750,Medtr5g094540,Medtr5g091050,Medtr8g072260,Medtr5g094550,Medtr8g023760,Medtr3g092990,Medtr1g091010,Medtr6g015910,Medtr4g029190,Medtr7g045650,Medtr7g063650,Medtr4g015790,Medtr3g092890,Medtr1g090987,Medtr1g077790,Medtr5g026480,Medtr8g037880,Medtr4g127670,Medtr8g056100,Medtr4g044110,Medtr5g026430,Medtr1g115900,Medtr4g133800,Medtr6g023590,Medtr2g007060,Medtr3g008580,Medtr5g026450,Medtr5g026460,Medtr4g054920,Medtr7g068650,Medtr3g110330,Medtr6g023600,Medtr6g043280,Medtr5g031305,Medtr7g068780,Medtr1g086550,Medtr4g117660,Medtr3g073180,Medtr5g013470,Medtr5g026500,Medtr7g056393,Medtr4g097510,Medtr1g077000,Medtr3g058210,Medtr8g018730,Medtr2g086040,Medtr7g107520,",1.77E-11
Molecular function,heme binding,GO:0020037,5,1.37E-11,3.915884878,34,6.62E+02,3.23E+02,24627,"Medtr8g035780,Medtr4g046713,Medtr7g026990,Medtr5g094560,Medtr3g105790,Medtr5g094570,Medtr5g017860,Medtr1g025980,Medtr7g108650,Medtr5g010750,Medtr5g470730,Medtr1g034330,Medtr4g029200,Medtr2g437770,Medtr0059s0170,Medtr1g009750,Medtr5g094540,Medtr8g072260,Medtr5g094550,Medtr3g092990,Medtr1g091010,Medtr6g015910,Medtr4g029190,Medtr1g090987,Medtr4g127670,Medtr1g115900,Medtr4g133800,Medtr4g054920,Medtr6g043280,Medtr3g073180,Medtr1g077000,Medtr3g058210,Medtr2g086040,Medtr7g107520,",2.29E-09
Molecular function,cofactor binding,GO:0048037,3,6.22E-11,2.804793183,49,1.33E+03,3.23E+02,24627,"Medtr8g035780,Medtr4g046713,Medtr7g026990,Medtr5g094560,Medtr3g105790,Medtr5g094570,Medtr5g017860,Medtr1g025980,Medtr7g108650,Medtr5g010750,Medtr4g125700,Medtr4g066130,Medtr5g470730,Medtr1g034330,Medtr4g082950,Medtr4g029200,Medtr2g437770,Medtr0059s0170,Medtr1g009750,Medtr5g094540,Medtr5g091050,Medtr8g072260,Medtr4g009040,Medtr5g094550,Medtr1g099020,Medtr3g092990,Medtr1g091010,Medtr6g015910,Medtr4g029190,Medtr1g090987,Medtr5g026480,Medtr8g037880,Medtr4g127670,Medtr4g044110,Medtr5g026430,Medtr1g115900,Medtr4g133800,Medtr5g026450,Medtr5g026460,Medtr4g054920,Medtr3g110330,Medtr6g043280,Medtr4g117660,Medtr3g073180,Medtr5g026500,Medtr1g077000,Medtr3g058210,Medtr2g086040,Medtr7g107520,",6.93E-09
Molecular function,tetrapyrrole binding,GO:0046906,4,8.03E-11,3.666641852,34,7.07E+02,3.23E+02,24627,"Medtr8g035780,Medtr4g046713,Medtr7g026990,Medtr5g094560,Medtr3g105790,Medtr5g094570,Medtr5g017860,Medtr1g025980,Medtr7g108650,Medtr5g010750,Medtr5g470730,Medtr1g034330,Medtr4g029200,Medtr2g437770,Medtr0059s0170,Medtr1g009750,Medtr5g094540,Medtr8g072260,Medtr5g094550,Medtr3g092990,Medtr1g091010,Medtr6g015910,Medtr4g029190,Medtr1g090987,Medtr4g127670,Medtr1g115900,Medtr4g133800,Medtr4g054920,Medtr6g043280,Medtr3g073180,Medtr1g077000,Medtr3g058210,Medtr2g086040,Medtr7g107520,",6.70E-09
Molecular function,hydroxymethylglutaryl-CoA reductase (NADPH) activity,GO:0004420,6,9.77E-10,45.74674923,6,1.00E+01,3.23E+02,24627,"Medtr5g091050,Medtr5g026480,Medtr5g026430,Medtr5g026450,Medtr5g026460,Medtr5g026500,",6.52E-08
Molecular function,peroxidase activity,GO:0004601,5,1.47E-09,6.970933215,16,1.75E+02,3.23E+02,24627,"Medtr4g046713,Medtr7g026990,Medtr3g105790,Medtr5g017860,Medtr1g025980,Medtr4g029200,Medtr2g437770,Medtr1g009750,Medtr3g092990,Medtr4g029190,Medtr4g127670,Medtr1g115900,Medtr4g133800,Medtr6g043280,Medtr1g077000,Medtr7g107520,",8.21E-08
Molecular function,"oxidoreductase activity, acting on peroxide as acceptor",GO:0016684,4,1.89E-09,6.853445577,16,1.78E+02,3.23E+02,24627,"Medtr4g046713,Medtr7g026990,Medtr3g105790,Medtr5g017860,Medtr1g025980,Medtr4g029200,Medtr2g437770,Medtr1g009750,Medtr3g092990,Medtr4g029190,Medtr4g127670,Medtr1g115900,Medtr4g133800,Medtr6g043280,Medtr1g077000,Medtr7g107520,",9.02E-08
Molecular function,"carbon-oxygen lyase activity, acting on phosphates",GO:0016838,5,5.53E-09,12.70743034,10,6.00E+01,3.23E+02,24627,"Medtr7g011663,Medtr7g057340,Medtr4g125700,Medtr7g057390,Medtr4g081460,Medtr3g063120,Medtr3g465090,Medtr3g063140,Medtr3g063170,Medtr3g063160,",2.31E-07
Molecular function,antioxidant activity,GO:0016209,2,6.11E-09,6.320794366,16,1.93E+02,3.23E+02,24627,"Medtr4g046713,Medtr7g026990,Medtr3g105790,Medtr5g017860,Medtr1g025980,Medtr4g029200,Medtr2g437770,Medtr1g009750,Medtr3g092990,Medtr4g029190,Medtr4g127670,Medtr1g115900,Medtr4g133800,Medtr6g043280,Medtr1g077000,Medtr7g107520,",2.27E-07
Molecular function,terpene synthase activity,GO:0010333,6,3.25E-08,12.70743034,9,5.40E+01,3.23E+02,24627,"Medtr7g011663,Medtr7g057340,Medtr7g057390,Medtr4g081460,Medtr3g063120,Medtr3g465090,Medtr3g063140,Medtr3g063170,Medtr3g063160,",1.09E-06
Molecular function,catalytic activity,GO:0003824,2,1.78E-07,1.275276006,211,1.26E+04,3.23E+02,24627,"Medtr2g103650,Medtr4g132270,Medtr5g074680,Medtr3g058610,Medtr8g035780,Medtr2g036440,Medtr7g011663,Medtr4g046713,Medtr1g033810,Medtr7g026990,Medtr2g098520,Medtr7g085150,Medtr5g094560,Medtr2g058470,Medtr3g105790,Medtr7g057340,Medtr4g066580,Medtr1g103850,Medtr7g096120,Medtr5g094570,Medtr1g070120,Medtr4g132260,Medtr0154s0040,Medtr7g094940,Medtr5g077510,Medtr1g084050,Medtr5g017860,Medtr1g025980,Medtr1g115475,Medtr4g094060,Medtr4g116480,Medtr1g064560,Medtr4g010650,Medtr4g094285,Medtr7g085180,Medtr2g070110,Medtr5g020940,Medtr4g079160,Medtr6g057770,Medtr8g016030,Medtr5g010750,Medtr5g024340,Medtr2g100880,Medtr4g132320,Medtr4g125700,Medtr8g006270,Medtr5g024020,Medtr4g033170,Medtr8g068120,Medtr7g116850,Medtr0189s0010,Medtr7g057390,Medtr2g098540,Medtr8g479380,Medtr5g025230,Medtr3g070860,Medtr8g081040,Medtr4g066130,Medtr5g470730,Medtr1g034330,Medtr8g007125,Medtr2g063510,Medtr4g081460,Medtr4g022800,Medtr2g088990,Medtr7g101170,Medtr5g025250,Medtr7g059290,Medtr8g066220,Medtr7g059285,Medtr2g063000,Medtr6g066230,Medtr4g082950,Medtr7g051650,Medtr4g033200,Medtr4g029200,Medtr0002s1060,Medtr2g024290,Medtr2g437770,Medtr7g015710,Medtr3g461000,Medtr0059s0170,Medtr1g009750,Medtr5g094540,Medtr5g091050,Medtr8g068340,Medtr8g072260,Medtr0154s0020,Medtr4g009040,Medtr5g094550,Medtr7g084750,Medtr1g082390,Medtr1g099020,Medtr3g084630,Medtr3g464040,Medtr8g023760,Medtr5g071560,Medtr3g092990,Medtr5g005960,Medtr6g065270,Medtr4g024960,Medtr3g084620,Medtr1g091010,Medtr6g015910,Medtr7g112440,Medtr4g029190,Medtr7g045650,Medtr7g063650,Medtr4g015790,Medtr2g009720,Medtr3g092890,Medtr6g015905,Medtr1g080440,Medtr1g090987,Medtr1g077790,Medtr5g026480,Medtr8g037880,Medtr3g063120,Medtr1g073610,Medtr4g127670,Medtr3g093430,Medtr8g079950,Medtr8g056100,Medtr7g104130,Medtr4g107370,Medtr8g079760,Medtr1g069470,Medtr2g090245,Medtr3g070290,Medtr4g044110,Medtr3g110172,Medtr3g117060,Medtr5g026430,Medtr3g110175,Medtr7g081420,Medtr3g086310,Medtr1g115900,Medtr4g133800,Medtr8g017410,Medtr6g023590,Medtr7g098610,Medtr3g035970,Medtr2g028590,Medtr3g465090,Medtr2g007060,Medtr3g008580,Medtr6g071340,Medtr8g098840,Medtr5g026450,Medtr8g020700,Medtr8g011780,Medtr3g074930,Medtr8g040430,Medtr4g128590,Medtr1g090090,Medtr5g026460,Medtr4g131810,Medtr3g074180,Medtr4g107010,Medtr4g054920,Medtr7g068650,Medtr8g042910,Medtr3g110330,Medtr7g417750,Medtr5g086130,Medtr7g033155,Medtr4g045667,Medtr2g028610,Medtr6g023600,Medtr6g043280,Medtr4g057450,Medtr8g044140,Medtr5g013230,Medtr2g040510,Medtr5g031305,Medtr7g022160,Medtr2g040120,Medtr8g064630,Medtr7g011470,Medtr7g068780,Medtr3g074970,Medtr1g086550,Medtr0161s0050,Medtr4g117660,Medtr3g101970,Medtr3g073180,Medtr4g053630,Medtr1g115850,Medtr4g053635,Medtr3g465010,Medtr5g013470,Medtr7g096140,Medtr3g063140,Medtr5g026500,Medtr5g041095,Medtr7g056393,Medtr3g065080,Medtr2g098250,Medtr3g063170,Medtr8g014640,Medtr4g097510,Medtr1g077000,Medtr3g058210,Medtr8g018730,Medtr2g086040,Medtr8g014650,Medtr7g107520,Medtr5g081960,Medtr3g063160,Medtr3g101960,Medtr7g105390,",5.41E-06
Molecular function,carbon-oxygen lyase activity,GO:0016835,4,2.77E-07,6.043777845,13,1.64E+02,3.23E+02,24627,"Medtr7g011663,Medtr7g057340,Medtr4g125700,Medtr7g057390,Medtr4g081460,Medtr7g059290,Medtr3g063120,Medtr3g086310,Medtr3g465090,Medtr8g064630,Medtr3g063140,Medtr3g063170,Medtr3g063160,",7.72E-06
Molecular function,lyase activity,GO:0016829,3,3.85E-06,3.416620422,19,4.24E+02,323,24627,"Medtr4g132270,Medtr7g011663,Medtr7g057340,Medtr4g132260,Medtr4g125700,Medtr8g068120,Medtr7g057390,Medtr1g034330,Medtr4g081460,Medtr7g059290,Medtr1g099020,Medtr3g063120,Medtr3g070290,Medtr3g086310,Medtr3g465090,Medtr8g064630,Medtr3g063140,Medtr3g063170,Medtr3g063160,",9.90E-05
Molecular function,endopeptidase inhibitor activity,GO:0004866,6,1.61E-05,6.181993139,9,1.11E+02,323,24627,"Medtr6g059730,Medtr6g066210,Medtr6g059760,Medtr6g059650,Medtr6g059530,Medtr6g059410,Medtr7g077340,Medtr7g077215,Medtr1g035770,",3.84E-04
Molecular function,endopeptidase regulator activity,GO:0061135,5,1.61E-05,6.181993139,9,1.11E+02,323,24627,"Medtr6g059730,Medtr6g066210,Medtr6g059760,Medtr6g059650,Medtr6g059530,Medtr6g059410,Medtr7g077340,Medtr7g077215,Medtr1g035770,",3.84E-04
Molecular function,xyloglucan:xyloglucosyl transferase activity,GO:0016762,7,1.71E-05,10.89208315,6,4.20E+01,323,24627,"Medtr8g081040,Medtr7g084750,Medtr3g084630,Medtr3g084620,Medtr4g128590,Medtr4g057450,",3.58E-04
Molecular function,peptidase inhibitor activity,GO:0030414,5,1.73E-05,6.126796771,9,1.12E+02,323,24627,"Medtr6g059730,Medtr6g066210,Medtr6g059760,Medtr6g059650,Medtr6g059530,Medtr6g059410,Medtr7g077340,Medtr7g077215,Medtr1g035770,",3.40E-04
Molecular function,peptidase regulator activity,GO:0061134,4,1.73E-05,6.126796771,9,1.12E+02,323,24627,"Medtr6g059730,Medtr6g066210,Medtr6g059760,Medtr6g059650,Medtr6g059530,Medtr6g059410,Medtr7g077340,Medtr7g077215,Medtr1g035770,",3.40E-04
Molecular function,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen",GO:0016705,4,1.93E-05,2.848996838,21,5.62E+02,323,24627,"Medtr8g035780,Medtr5g094560,Medtr5g094570,Medtr5g010750,Medtr5g470730,Medtr1g034330,Medtr0059s0170,Medtr5g094540,Medtr8g072260,Medtr5g094550,Medtr1g091010,Medtr6g015910,Medtr3g092890,Medtr1g090987,Medtr8g037880,Medtr8g056100,Medtr4g054920,Medtr7g068780,Medtr1g086550,Medtr3g058210,Medtr2g086040,",3.39E-04
Molecular function,dioxygenase activity,GO:0051213,4,3.60E-05,4.983306016,10,1.53E+02,323,24627,"Medtr3g058610,Medtr5g024020,Medtr5g025230,Medtr3g070860,Medtr5g025250,Medtr4g015790,Medtr3g092890,Medtr7g068650,Medtr1g086550,Medtr8g018730,",6.01E-04
Molecular function,NADP binding,GO:0050661,6,4.86E-05,7.311124306,7,7.30E+01,323,24627,"Medtr5g091050,Medtr5g026480,Medtr8g037880,Medtr5g026430,Medtr5g026450,Medtr5g026460,Medtr5g026500,",7.73E-04
Molecular function,metal ion binding,GO:0046872,5,5.27E-05,1.496372541,85,4.33E+03,323,24627,"Medtr4g132270,Medtr3g058610,Medtr8g035780,Medtr7g011663,Medtr4g046713,Medtr1g033810,Medtr7g026990,Medtr5g094560,Medtr3g089090,Medtr3g105790,Medtr7g057340,Medtr5g094570,Medtr1g070120,Medtr4g132260,Medtr5g017860,Medtr1g025980,Medtr4g010650,Medtr5g010750,Medtr3g102980,Medtr5g024340,Medtr4g132320,Medtr5g024020,Medtr7g057390,Medtr8g479380,Medtr4g103655,Medtr3g070860,Medtr5g470730,Medtr5g069180,Medtr1g034330,Medtr3g109760,Medtr4g081460,Medtr8g038170,Medtr3g070880,Medtr7g059290,Medtr8g023510,Medtr2g091235,Medtr4g029200,Medtr2g437770,Medtr0059s0170,Medtr3g089070,Medtr1g009750,Medtr5g094540,Medtr8g072260,Medtr5g094550,Medtr3g092990,Medtr7g101930,Medtr4g024960,Medtr1g091010,Medtr6g015910,Medtr4g029190,Medtr7g045650,Medtr4g015790,Medtr3g092890,Medtr1g090987,Medtr3g063120,Medtr4g127670,Medtr4g071200,Medtr3g086310,Medtr1g115900,Medtr4g133800,Medtr3g465090,Medtr5g055020,Medtr3g008580,Medtr3g074930,Medtr4g054920,Medtr7g068650,Medtr3g110330,Medtr6g043280,Medtr5g031305,Medtr8g064630,Medtr3g074970,Medtr1g086550,Medtr4g117660,Medtr3g073180,Medtr5g013470,Medtr3g063140,Medtr1g112200,Medtr7g056393,Medtr3g063170,Medtr1g077000,Medtr3g058210,Medtr8g018730,Medtr2g086040,Medtr7g107520,Medtr3g063160,",8.00E-04
Molecular function,cation binding,GO:0043169,4,5.78E-05,1.492581638,85,4.34E+03,323,24627,"Medtr4g132270,Medtr3g058610,Medtr8g035780,Medtr7g011663,Medtr4g046713,Medtr1g033810,Medtr7g026990,Medtr5g094560,Medtr3g089090,Medtr3g105790,Medtr7g057340,Medtr5g094570,Medtr1g070120,Medtr4g132260,Medtr5g017860,Medtr1g025980,Medtr4g010650,Medtr5g010750,Medtr3g102980,Medtr5g024340,Medtr4g132320,Medtr5g024020,Medtr7g057390,Medtr8g479380,Medtr4g103655,Medtr3g070860,Medtr5g470730,Medtr5g069180,Medtr1g034330,Medtr3g109760,Medtr4g081460,Medtr8g038170,Medtr3g070880,Medtr7g059290,Medtr8g023510,Medtr2g091235,Medtr4g029200,Medtr2g437770,Medtr0059s0170,Medtr3g089070,Medtr1g009750,Medtr5g094540,Medtr8g072260,Medtr5g094550,Medtr3g092990,Medtr7g101930,Medtr4g024960,Medtr1g091010,Medtr6g015910,Medtr4g029190,Medtr7g045650,Medtr4g015790,Medtr3g092890,Medtr1g090987,Medtr3g063120,Medtr4g127670,Medtr4g071200,Medtr3g086310,Medtr1g115900,Medtr4g133800,Medtr3g465090,Medtr5g055020,Medtr3g008580,Medtr3g074930,Medtr4g054920,Medtr7g068650,Medtr3g110330,Medtr6g043280,Medtr5g031305,Medtr8g064630,Medtr3g074970,Medtr1g086550,Medtr4g117660,Medtr3g073180,Medtr5g013470,Medtr3g063140,Medtr1g112200,Medtr7g056393,Medtr3g063170,Medtr1g077000,Medtr3g058210,Medtr8g018730,Medtr2g086040,Medtr7g107520,Medtr3g063160,",8.39E-04
Molecular function,iron ion binding,GO:0005506,7,1.01E-04,2.611115823,20,5.84E+02,323,24627,"Medtr8g035780,Medtr5g094560,Medtr5g094570,Medtr5g010750,Medtr3g070860,Medtr5g470730,Medtr1g034330,Medtr0059s0170,Medtr5g094540,Medtr8g072260,Medtr5g094550,Medtr1g091010,Medtr6g015910,Medtr4g015790,Medtr1g090987,Medtr4g054920,Medtr7g068650,Medtr1g086550,Medtr3g058210,Medtr2g086040,",0.001405505
Molecular function,acid phosphatase activity,GO:0003993,7,1.32E-04,10.03218185,5,3.80E+01,323,24627,"Medtr1g073610,Medtr3g074930,Medtr3g074970,Medtr8g014640,Medtr8g014650,",0.001637882
