Class,GO_Name,GO_ID,GO_Level,P_value,EnrichmentScore,HitsGenesCountsInSelectedSet,HitsGenesCountsInBackground,AllGenesCountsInSelectedSet,AllGenesCountsInBackground,GenesOfSelectedSetInGOterm,corrected p-value(BH method)
Molecular function,catalytic activity,GO:0003824,2,6.14E-11,1.214807116,514,1.26E+04,8.26E+02,24627,"Medtr3g102400,Medtr4g128840,Medtr7g117385,Medtr7g016800,Medtr4g115920,Medtr3g083370,Medtr3g057800,Medtr2g070150,Medtr1g029600,Medtr5g005850,Medtr5g024450,Medtr5g074970,Medtr2g070140,Medtr7g108875,Medtr4g036385,Medtr5g090070,Medtr1g114600,Medtr4g120760,Medtr3g045770,Medtr2g070130,Medtr4g066590,Medtr4g095050,Medtr2g026060,Medtr7g011770,Medtr7g067340,Medtr1g041475,Medtr4g026030,Medtr6g029460,Medtr5g009140,Medtr3g048760,Medtr3g009010,Medtr1g022245,Medtr4g132810,Medtr5g042440,Medtr3g082770,Medtr8g008930,Medtr7g113410,Medtr5g041780,Medtr3g009020,Medtr8g100120,Medtr7g028020,Medtr2g094790,Medtr2g090615,Medtr5g040430,Medtr3g083920,Medtr1g020000,Medtr1g040195,Medtr4g091850,Medtr7g024760,Medtr7g024765,Medtr8g008505,Medtr8g008500,Medtr5g073200,Medtr1g080020,Medtr3g083910,Medtr8g015960,Medtr6g008560,Medtr5g098170,Medtr4g109720,Medtr5g078020,Medtr8g052190,Medtr4g086450,Medtr8g074330,Medtr6g012170,Medtr8g012590,Medtr8g074335,Medtr2g034440,Medtr1g034450,Medtr2g091220,Medtr7g080450,Medtr8g015940,Medtr5g013910,Medtr8g099065,Medtr7g012330,Medtr4g058000,Medtr4g128580,Medtr1g027140,Medtr7g024520,Medtr4g128310,Medtr8g015910,Medtr3g452790,Medtr8g104520,Medtr3g464580,Medtr3g073470,Medtr6g465010,Medtr1g027640,Medtr8g039090,Medtr2g099470,Medtr1g086490,Medtr6g060570,Medtr1g028280,Medtr8g098910,Medtr2g034470,Medtr4g086020,Medtr2g081520,Medtr5g016440,Medtr6g011310,Medtr8g011610,Medtr2g025120,Medtr5g006750,Medtr3g019160,Medtr4g485550,Medtr2g034480,Medtr2g067980,Medtr6g008500,Medtr7g079350,Medtr2g070180,Medtr3g061110,Medtr7g106340,Medtr2g031600,Medtr4g031140,Medtr5g059820,Medtr2g075010,Medtr4g015260,Medtr4g094812,Medtr7g063270,Medtr7g098750,Medtr4g114270,Medtr1g090060,Medtr4g078110,Medtr7g085630,Medtr7g081750,Medtr7g102960,Medtr1g088825,Medtr4g083500,Medtr7g063260,Medtr8g024340,Medtr5g007550,Medtr7g098760,Medtr6g015815,Medtr8g059605,Medtr7g014510,Medtr8g009120,Medtr4g131180,Medtr6g488030,Medtr4g029170,Medtr7g013260,Medtr5g065130,Medtr3g067770,Medtr1g103290,Medtr1g068810,Medtr8g076820,Medtr8g464480,Medtr4g029180,Medtr1g098140,Medtr3g083130,Medtr3g450680,Medtr5g006470,Medtr2g025580,Medtr8g009110,Medtr1g110120,Medtr7g014570,Medtr6g466340,Medtr4g037105,Medtr5g013260,Medtr3g021430,Medtr2g010470,Medtr5g006460,Medtr1g107380,Medtr8g465470,Medtr1g094185,Medtr1g062110,Medtr1g104890,Medtr6g488090,Medtr8g465990,Medtr2g040530,Medtr5g086040,Medtr1g110510,Medtr7g015670,Medtr4g116920,Medtr5g006450,Medtr7g063730,Medtr1g077890,Medtr3g008960,Medtr5g041010,Medtr5g075220,Medtr3g103110,Medtr8g046210,Medtr1g060360,Medtr3g094630,Medtr4g114250,Medtr7g111740,Medtr4g076255,Medtr3g085850,Medtr7g066620,Medtr3g467420,Medtr8g102150,Medtr8g007020,Medtr7g082470,Medtr7g088330,Medtr3g467430,Medtr1g088840,Medtr1g088845,Medtr7g016780,Medtr3g110450,Medtr8g009150,Medtr1034s0010,Medtr2g100350,Medtr4g051515,Medtr4g084480,Medtr1g083620,Medtr2g021255,Medtr1g084790,Medtr7g013200,Medtr1g036460,Medtr7g117500,Medtr8g087425,Medtr2g084405,Medtr7g010730,Medtr5g031310,Medtr4g120800,Medtr2g075680,Medtr4g094772,Medtr4g066630,Medtr1g029540,Medtr1g115820,Medtr5g093390,Medtr7g052020,Medtr6g036640,Medtr3g058160,Medtr2g102660,Medtr6g023340,Medtr7g090510,Medtr7g009930,Medtr6g036840,Medtr6g036650,Medtr2g102670,Medtr6g088785,Medtr1g056880,Medtr5g048570,Medtr1g056870,Medtr1g073740,Medtr1g036490,Medtr7g074870,Medtr2g086300,Medtr1g076940,Medtr7g016720,Medtr7g079080,Medtr7g074865,Medtr8g046260,Medtr8g061360,Medtr4g087830,Medtr8g028435,Medtr7g085610,Medtr8g018735,Medtr4g071860,Medtr1g040545,Medtr3g094160,Medtr7g011900,Medtr4g091690,Medtr3g109120,Medtr7g016700,Medtr4g093580,Medtr3g058110,Medtr3g077940,Medtr7g066590,Medtr2g029740,Medtr4g086730,Medtr5g090830,Medtr2g086290,Medtr8g083520,Medtr3g101410,Medtr7g072605,Medtr1g040215,Medtr3g101400,Medtr5g007717,Medtr5g074860,Medtr5g056140,Medtr5g007730,Medtr1g021642,Medtr4g086740,Medtr5g085330,Medtr7g100240,Medtr7g102490,Medtr3g056645,Medtr4g066020,Medtr1g022350,Medtr4g086750,Medtr4g119830,Medtr5g017670,Medtr4g109170,Medtr3g463760,Medtr4g102440,Medtr7g056450,Medtr3g006740,Medtr8g089230,Medtr5g097910,Medtr8g008660,Medtr0219s0070,Medtr8g022810,Medtr3g025230,Medtr1g060500,Medtr0001s0660,Medtr7g085930,Medtr8g466030,Medtr6g007090,Medtr5g085300,Medtr8g107010,Medtr3g006730,Medtr5g055680,Medtr2g099950,Medtr1g041390,Medtr1g027050,Medtr4g129270,Medtr2g083930,Medtr1g025950,Medtr5g097900,Medtr8g041890,Medtr1g014670,Medtr7g481600,Medtr3g466180,Medtr4g086710,Medtr3g092140,Medtr8g031400,Medtr4g124040,Medtr1g019270,Medtr3g098350,Medtr5g070710,Medtr6g009090,Medtr1g011580,Medtr1g112050,Medtr3g479490,Medtr1g027070,Medtr5g007713,Medtr5g074600,Medtr1g111400,Medtr8g028080,Medtr1g067380,Medtr4g128410,Medtr3g479470,Medtr2g072160,Medtr0090s0020,Medtr4g076430,Medtr4g092530,Medtr4g074995,Medtr2g031530,Medtr1g051760,Medtr1g021845,Medtr6g048090,Medtr3g107870,Medtr5g072930,Medtr3g064420,Medtr4g015180,Medtr2g031520,Medtr7g012070,Medtr5g088770,Medtr3g105590,Medtr1g107455,Medtr2g073420,Medtr4g092550,Medtr7g077780,Medtr4g112790,Medtr6g042660,Medtr2g088980,Medtr8g031430,Medtr3g088855,Medtr4g076440,Medtr5g023980,Medtr7g034345,Medtr5g005370,Medtr1g027030,Medtr4g066240,Medtr7g087070,Medtr5g019010,Medtr2g034720,Medtr2g070070,Medtr8g027675,Medtr0062s0020,Medtr8g063790,Medtr2g073250,Medtr7g081580,Medtr4g058740,Medtr5g005540,Medtr2g070060,Medtr1g090520,Medtr3g095720,Medtr3g101260,Medtr1g097910,Medtr2g073650,Medtr1g064630,Medtr8g015220,Medtr8g464780,Medtr5g070980,Medtr5g062290,Medtr4g066210,Medtr3g110860,Medtr3g060280,Medtr8g063080,Medtr4g114080,Medtr7g110780,Medtr1g097935,Medtr2g088930,Medtr4g128640,Medtr3g049970,Medtr3g028720,Medtr3g048440,Medtr4g019225,Medtr4g094010,Medtr4g102620,Medtr8g465570,Medtr8g461110,Medtr7g089780,Medtr0036s0050,Medtr1g036510,Medtr4g064987,Medtr6g091680,Medtr4g080360,Medtr3g101900,Medtr2g064940,Medtr7g027960,Medtr8g031390,Medtr2g031590,Medtr4g104140,Medtr3g110195,Medtr3g114870,Medtr4g104540,Medtr5g005480,Medtr1g044210,Medtr1g080460,Medtr1g070400,Medtr7g103420,Medtr5g040940,Medtr1g111000,Medtr5g072980,Medtr2g021340,Medtr1g105840,Medtr7g073520,Medtr1g032490,Medtr2g031560,Medtr5g035580,Medtr5g008820,Medtr4g051622,Medtr8g096880,Medtr2g028580,Medtr2g090250,Medtr3g105980,Medtr5g045250,Medtr7g065600,Medtr8g007035,Medtr5g072960,Medtr1g105820,Medtr8g014700,Medtr7g093530,Medtr7g083410,Medtr5g098720,Medtr3g024520,Medtr5g098960,Medtr3g008270,Medtr7g082570,Medtr4g088225,Medtr0374s0050,Medtr2g100450,Medtr8g102500,Medtr7g106830,Medtr7g075610,Medtr3g069050,Medtr4g087110,Medtr5g018980,Medtr8g009080,Medtr5g073020,Medtr1g096310,Medtr1g083290,Medtr3g110320,Medtr5g020570,Medtr1g043690,Medtr1g019940,Medtr3g436160,Medtr8g013610,Medtr3g030540,Medtr1g019740,Medtr4g109360,Medtr8g031990,Medtr8g022790,Medtr1g101770,Medtr5g031250,Medtr5g045600,Medtr1g019750,Medtr5g026620,Medtr8g071900,Medtr6g016260,Medtr8g080150,Medtr5g066060,Medtr4g081640,Medtr7g063800,Medtr0003s0620,Medtr8g018890,Medtr2g045280,Medtr2g089120,Medtr3g118390,Medtr4g104550,Medtr3g117850,Medtr4g067040,Medtr7g062950,Medtr6g043240,Medtr5g040960,Medtr7g108260,Medtr1g089865,Medtr1g112350,Medtr8g087740,Medtr4g089155,Medtr7g016820,Medtr3g058410,Medtr1g010250,Medtr3g099540,Medtr8g010590,Medtr1g103680,Medtr0045s0060,Medtr2g095980,Medtr4g025730,Medtr1g090150,Medtr1g015700,Medtr6g016820,Medtr8g072540,Medtr8g009090,",3.14E-08
Molecular function,O-methyltransferase activity,GO:0008171,6,1.17E-08,5.817516093,16,8.20E+01,826,24627,"Medtr8g100120,Medtr5g098170,Medtr7g024520,Medtr4g094812,Medtr7g014510,Medtr7g014570,Medtr3g021430,Medtr1g036460,Medtr1g036490,Medtr1g076940,Medtr7g011900,Medtr5g074600,Medtr7g012070,Medtr1g036510,Medtr6g091680,Medtr1g096310,",2.99E-06
Molecular function,oxidoreductase activity,GO:0016491,3,4.18E-08,1.631121945,122,2.23E+03,826,24627,"Medtr7g117385,Medtr3g083370,Medtr3g057800,Medtr5g074970,Medtr4g095050,Medtr4g026030,Medtr6g029460,Medtr8g008930,Medtr7g113410,Medtr7g028020,Medtr6g012170,Medtr8g012590,Medtr1g034450,Medtr7g012330,Medtr6g465010,Medtr8g039090,Medtr1g086490,Medtr8g098910,Medtr4g086020,Medtr5g016440,Medtr2g025120,Medtr5g006750,Medtr3g019160,Medtr6g008500,Medtr2g031600,Medtr4g031140,Medtr5g059820,Medtr7g063270,Medtr4g078110,Medtr7g085630,Medtr7g063260,Medtr5g007550,Medtr8g009120,Medtr4g131180,Medtr4g029170,Medtr8g076820,Medtr4g029180,Medtr3g083130,Medtr2g025580,Medtr8g009110,Medtr5g013260,Medtr1g094185,Medtr1g062110,Medtr7g063730,Medtr8g046210,Medtr3g094630,Medtr3g085850,Medtr8g102150,Medtr8g007020,Medtr7g088330,Medtr8g009150,Medtr1034s0010,Medtr2g084405,Medtr5g031310,Medtr4g094772,Medtr5g048570,Medtr8g028435,Medtr8g018735,Medtr3g058110,Medtr2g029740,Medtr4g086730,Medtr8g083520,Medtr5g074860,Medtr4g086740,Medtr5g085330,Medtr4g086750,Medtr4g102440,Medtr5g097910,Medtr3g025230,Medtr0001s0660,Medtr8g466030,Medtr5g055680,Medtr1g025950,Medtr5g097900,Medtr3g466180,Medtr4g086710,Medtr3g092140,Medtr3g098350,Medtr5g070710,Medtr1g011580,Medtr1g112050,Medtr4g074995,Medtr5g072930,Medtr2g073420,Medtr5g019010,Medtr5g005540,Medtr3g101260,Medtr8g015220,Medtr5g070980,Medtr4g019225,Medtr7g027960,Medtr2g031590,Medtr3g110195,Medtr4g104540,Medtr5g072980,Medtr2g031560,Medtr4g051622,Medtr5g045250,Medtr8g007035,Medtr5g072960,Medtr3g024520,Medtr0374s0050,Medtr7g075610,Medtr4g087110,Medtr5g018980,Medtr8g009080,Medtr5g073020,Medtr1g083290,Medtr4g109360,Medtr8g031990,Medtr1g101770,Medtr5g031250,Medtr5g026620,Medtr7g063800,Medtr4g104550,Medtr6g043240,Medtr7g108260,Medtr1g089865,Medtr3g099540,Medtr1g103680,Medtr0045s0060,Medtr8g009090,",7.12E-06
Molecular function,heme binding,GO:0020037,5,5.44E-07,2.16179601,48,6.62E+02,826,24627,"Medtr3g057800,Medtr5g074970,Medtr4g095050,Medtr0026s0210,Medtr4g026030,Medtr7g028020,Medtr8g012590,Medtr7g012330,Medtr1g086490,Medtr4g086020,Medtr5g016440,Medtr6g008500,Medtr4g031140,Medtr5g059820,Medtr4g078110,Medtr4g068860,Medtr5g007550,Medtr4g029170,Medtr8g076820,Medtr4g029180,Medtr8g046210,Medtr3g094630,Medtr7g088330,Medtr4g094772,Medtr3g058110,Medtr2g029740,Medtr5g074860,Medtr3g025230,Medtr3g466180,Medtr5g070710,Medtr4g074995,Medtr5g072930,Medtr2g073420,Medtr5g019010,Medtr5g070980,Medtr7g027960,Medtr4g104540,Medtr5g072980,Medtr5g045250,Medtr5g072960,Medtr3g024520,Medtr7g075610,Medtr5g018980,Medtr5g073020,Medtr4g104550,Medtr6g043240,Medtr1g103680,Medtr0045s0060,",6.95E-05
Molecular function,DNA-binding transcription factor activity,GO:0003700,3,1.09E-06,2.129626427,47,658,826,24627,"Medtr2g015040,Medtr2g088000,Medtr6g037610,Medtr1g074230,Medtr3g093830,Medtr7g091370,Medtr3g090860,Medtr7g115120,Medtr2g033820,Medtr1g015140,Medtr2g105060,Medtr2g075680,Medtr5g054900,Medtr7g073430,Medtr1g017090,Medtr6g465690,Medtr7g096830,Medtr1g013790,Medtr3g112220,Medtr4g066020,Medtr1g070015,Medtr1g070020,Medtr3g031220,Medtr1g074370,Medtr7g073380,Medtr3g092150,Medtr7g117200,Medtr8g059170,Medtr1g069945,Medtr3g095040,Medtr1g043350,Medtr1g069940,Medtr3g098580,Medtr5g074400,Medtr1g069960,Medtr7g096700,Medtr4g114570,Medtr1g090170,Medtr7g096750,Medtr4g027040,Medtr2g013950,Medtr2g075700,Medtr5g053920,Medtr1g102860,Medtr4g107970,Medtr1g040430,Medtr0020s0020,",1.11E-04
Molecular function,cofactor binding,GO:0048037,3,2.33E-06,1.723526493,77,1332,826,24627,"Medtr3g057800,Medtr5g074970,Medtr4g095050,Medtr0026s0210,Medtr4g026030,Medtr7g028020,Medtr2g090615,Medtr8g012590,Medtr7g012330,Medtr3g073470,Medtr1g086490,Medtr4g086020,Medtr5g016440,Medtr5g006750,Medtr6g008500,Medtr2g070180,Medtr2g031600,Medtr4g031140,Medtr5g059820,Medtr4g078110,Medtr4g068860,Medtr1g088825,Medtr5g007550,Medtr4g029170,Medtr8g076820,Medtr4g029180,Medtr5g013260,Medtr1g077890,Medtr8g046210,Medtr3g094630,Medtr3g085850,Medtr7g088330,Medtr1g088840,Medtr1034s0010,Medtr2g084405,Medtr4g094772,Medtr7g090510,Medtr7g074870,Medtr7g079080,Medtr7g074865,Medtr8g061360,Medtr3g058110,Medtr2g029740,Medtr5g074860,Medtr3g025230,Medtr8g466030,Medtr3g466180,Medtr3g092140,Medtr5g070710,Medtr1g112050,Medtr4g074995,Medtr5g072930,Medtr1g107455,Medtr2g073420,Medtr5g019010,Medtr1g418545,Medtr5g005540,Medtr5g070980,Medtr7g027960,Medtr2g031590,Medtr4g104540,Medtr5g072980,Medtr2g031560,Medtr5g045250,Medtr5g072960,Medtr3g024520,Medtr7g106830,Medtr7g075610,Medtr5g018980,Medtr5g073020,Medtr4g109360,Medtr1g101770,Medtr4g104550,Medtr6g043240,Medtr1g103680,Medtr0045s0060,Medtr2g095980,",1.98E-04
Molecular function,tetrapyrrole binding,GO:0046906,4,3.42E-06,2.024199376,48,707,826,24627,"Medtr3g057800,Medtr5g074970,Medtr4g095050,Medtr0026s0210,Medtr4g026030,Medtr7g028020,Medtr8g012590,Medtr7g012330,Medtr1g086490,Medtr4g086020,Medtr5g016440,Medtr6g008500,Medtr4g031140,Medtr5g059820,Medtr4g078110,Medtr4g068860,Medtr5g007550,Medtr4g029170,Medtr8g076820,Medtr4g029180,Medtr8g046210,Medtr3g094630,Medtr7g088330,Medtr4g094772,Medtr3g058110,Medtr2g029740,Medtr5g074860,Medtr3g025230,Medtr3g466180,Medtr5g070710,Medtr4g074995,Medtr5g072930,Medtr2g073420,Medtr5g019010,Medtr5g070980,Medtr7g027960,Medtr4g104540,Medtr5g072980,Medtr5g045250,Medtr5g072960,Medtr3g024520,Medtr7g075610,Medtr5g018980,Medtr5g073020,Medtr4g104550,Medtr6g043240,Medtr1g103680,Medtr0045s0060,",2.49E-04
Molecular function,transcription regulator activity,GO:0140110,2,5.79E-06,1.984894534,48,721,826,24627,"Medtr2g015040,Medtr2g088000,Medtr6g037610,Medtr1g074230,Medtr3g093830,Medtr7g091370,Medtr3g090860,Medtr7g115120,Medtr2g033820,Medtr1g015140,Medtr2g105060,Medtr2g075680,Medtr5g054900,Medtr7g073430,Medtr1g017090,Medtr6g465690,Medtr7g096830,Medtr1g013790,Medtr3g112220,Medtr4g066020,Medtr1g070015,Medtr1g070020,Medtr3g031220,Medtr1g074370,Medtr7g073380,Medtr3g092150,Medtr7g117200,Medtr8g059170,Medtr1g069945,Medtr3g095040,Medtr1g043350,Medtr1g069940,Medtr3g098580,Medtr5g074400,Medtr1g069960,Medtr7g096700,Medtr4g114570,Medtr1g090170,Medtr4g104140,Medtr7g096750,Medtr4g027040,Medtr2g013950,Medtr2g075700,Medtr5g053920,Medtr1g102860,Medtr4g107970,Medtr1g040430,Medtr0020s0020,",3.70E-04
Molecular function,chitinase activity,GO:0004568,6,7.13E-06,9.074060427,7,23,826,24627,"Medtr8g074330,Medtr8g074335,Medtr2g099470,Medtr4g116920,Medtr7g110780,Medtr3g110320,Medtr3g118390,",4.05E-04
Molecular function,chitin binding,GO:0008061,4,2.73E-05,12.42282082,5,12,826,24627,"Medtr8g074330,Medtr8g074335,Medtr2g099470,Medtr1g021845,Medtr3g118390,",0.00139455
