QueryID,SubjectID,Identity,AlignmentLen,Mismatch,GapOpen,QueryStart,QueryEnd,SubjectStart,SubjectEnd,E-value,BitScore,SubjectDefID,SubjectDef
df80ffff8495a6bf1107c1d6684685ba,gnl|BL_ORD_ID|41968,99.286,280,2,0,1,280,1,280,9.54E-150,527,|gi|43047|gb|LT716205|,Glomeraceae Glomus sp. VTX00067
df80ffff8495a6bf1107c1d6684685ba,gnl|BL_ORD_ID|41967,99.286,280,2,0,1,280,1,280,9.54E-150,527,|gi|43046|gb|LT716204|,Glomeraceae Glomus sp. VTX00067
df80ffff8495a6bf1107c1d6684685ba,gnl|BL_ORD_ID|41300,99.286,280,2,0,1,280,1,280,9.54E-150,527,|gi|42379|gb|LT983860|,Glomeraceae Glomus sp. VTX00067
df80ffff8495a6bf1107c1d6684685ba,gnl|BL_ORD_ID|41299,99.286,280,2,0,1,280,1,280,9.54E-150,527,|gi|42378|gb|LT983859|,Glomeraceae Glomus sp. VTX00067
df80ffff8495a6bf1107c1d6684685ba,gnl|BL_ORD_ID|40866,99.286,280,2,0,1,280,1,280,9.54E-150,527,|gi|41945|gb|LT983426|,Glomeraceae Glomus sp. VTX00067
df80ffff8495a6bf1107c1d6684685ba,gnl|BL_ORD_ID|38844,99.286,280,2,0,1,280,1,280,9.54E-150,527,|gi|39931|gb|LT981412|,Glomeraceae Glomus sp. VTX00067
df80ffff8495a6bf1107c1d6684685ba,gnl|BL_ORD_ID|38843,99.286,280,2,0,1,280,1,280,9.54E-150,527,|gi|39930|gb|LT981411|,Glomeraceae Glomus sp. VTX00067
df80ffff8495a6bf1107c1d6684685ba,gnl|BL_ORD_ID|37083,99.286,280,2,0,1,280,1,280,9.54E-150,527,|gi|38177|gb|LT935632|,Glomeraceae Glomus sp. 
df80ffff8495a6bf1107c1d6684685ba,gnl|BL_ORD_ID|36750,99.286,280,2,0,1,280,1,280,9.54E-150,527,|gi|37844|gb|LT934649|,Glomeraceae Glomus sp. 
df80ffff8495a6bf1107c1d6684685ba,gnl|BL_ORD_ID|36749,99.286,280,2,0,1,280,1,280,9.54E-150,527,|gi|37843|gb|LT934648|,Glomeraceae Glomus sp. 
df80ffff8495a6bf1107c1d6684685ba,gnl|BL_ORD_ID|36682,99.286,280,2,0,1,280,1,280,9.54E-150,527,|gi|37776|gb|LT934574|,Glomeraceae Glomus sp. 
df80ffff8495a6bf1107c1d6684685ba,gnl|BL_ORD_ID|36681,99.286,280,2,0,1,280,1,280,9.54E-150,527,|gi|37775|gb|LT934573|,Glomeraceae Glomus sp. 
df80ffff8495a6bf1107c1d6684685ba,gnl|BL_ORD_ID|36179,99.286,280,2,0,1,280,1,280,9.54E-150,527,|gi|37273|gb|LT934958|,Glomeraceae Glomus sp. 
df80ffff8495a6bf1107c1d6684685ba,gnl|BL_ORD_ID|36178,99.286,280,2,0,1,280,1,280,9.54E-150,527,|gi|37272|gb|LT934957|,Glomeraceae Glomus sp. 
df80ffff8495a6bf1107c1d6684685ba,gnl|BL_ORD_ID|36082,99.286,280,2,0,1,280,1,280,9.54E-150,527,|gi|37176|gb|LT934861|,Glomeraceae Glomus sp. 
2851728668ca9b7f47e1f5f4b3d484ed,gnl|BL_ORD_ID|1818,88.235,102,12,0,1,102,664,765,2.33E-29,127,|gi|2341|gb|EF393612|,Glomeraceae Glomus BV-RED-5 
2851728668ca9b7f47e1f5f4b3d484ed,gnl|BL_ORD_ID|1818,96,50,2,0,231,280,907,956,1.26E-16,84,|gi|2341|gb|EF393612|,Glomeraceae Glomus BV-RED-5 
2851728668ca9b7f47e1f5f4b3d484ed,gnl|BL_ORD_ID|8254,96,50,2,0,231,280,699,748,1.26E-16,84,|gi|9315|gb|HQ857196|,Glomeraceae Glomus sp. 
2851728668ca9b7f47e1f5f4b3d484ed,gnl|BL_ORD_ID|1811,96,50,2,0,231,280,926,975,1.26E-16,84,|gi|2334|gb|EF393604|,Glomeraceae Glomus BV-RED-3 
2851728668ca9b7f47e1f5f4b3d484ed,gnl|BL_ORD_ID|8263,95.918,49,2,0,232,280,724,772,4.78E-16,82,|gi|9324|gb|JF276273|,Glomeraceae Glomus sp. 
2851728668ca9b7f47e1f5f4b3d484ed,gnl|BL_ORD_ID|8257,95.918,49,2,0,232,280,720,768,4.78E-16,82,|gi|9318|gb|HQ857203|,Glomeraceae Glomus sp. 
2851728668ca9b7f47e1f5f4b3d484ed,gnl|BL_ORD_ID|8256,95.833,48,2,0,233,280,723,770,1.81E-15,80,|gi|9317|gb|HQ857200|,Glomeraceae Glomus sp. 
2851728668ca9b7f47e1f5f4b3d484ed,gnl|BL_ORD_ID|8225,92.593,54,4,0,227,280,566,619,1.81E-15,80,|gi|9286|gb|FJ769289|,Glomeraceae Glomus sp. 
2851728668ca9b7f47e1f5f4b3d484ed,gnl|BL_ORD_ID|28915,94,50,3,0,231,280,705,754,6.87E-15,79,|gi|30015|gb|KY555055|,Glomeraceae Rhizoglomus dunense 
2851728668ca9b7f47e1f5f4b3d484ed,gnl|BL_ORD_ID|28914,94,50,3,0,231,280,705,754,6.87E-15,79,|gi|30014|gb|KY555054|,Glomeraceae Rhizoglomus dunense 
2851728668ca9b7f47e1f5f4b3d484ed,gnl|BL_ORD_ID|8881,94,50,3,0,231,280,926,975,6.87E-15,79,|gi|10047|gb|AY744278|,Glomeraceae Glomus sp. 
2851728668ca9b7f47e1f5f4b3d484ed,gnl|BL_ORD_ID|8698,94,50,3,0,231,280,457,506,6.87E-15,79,|gi|9841|gb|DQ294947|,Glomeraceae Glomus sp. 
2851728668ca9b7f47e1f5f4b3d484ed,gnl|BL_ORD_ID|8574,94,50,3,0,231,280,728,777,6.87E-15,79,|gi|9717|gb|JX096611|,Glomeraceae Glomus OTU48 
2851728668ca9b7f47e1f5f4b3d484ed,gnl|BL_ORD_ID|8393,94,50,3,0,231,280,690,739,6.87E-15,79,|gi|9454|gb|JN685257|,Glomeraceae Glomus sp. 
2851728668ca9b7f47e1f5f4b3d484ed,gnl|BL_ORD_ID|8392,94,50,3,0,231,280,701,750,6.87E-15,79,|gi|9453|gb|JN685256|,Glomeraceae Glomus sp. 
2851728668ca9b7f47e1f5f4b3d484ed,gnl|BL_ORD_ID|8391,94,50,3,0,231,280,694,743,6.87E-15,79,|gi|9452|gb|JN685255|,Glomeraceae Glomus sp. 
6bb52722678f86be9f14e373139203e6,gnl|BL_ORD_ID|42518,100,73,0,0,1,73,1,73,2.07E-33,140,|gi|43597|gb|LT716755|,Diversisporaceae Diversispora sp. VTX00380
